hashtag,score
yougonelearntoday,0.0
freeyourself,0.0
dinkleberg,0.0
southpark,0.0
wax,0.0
texasisscrewed,0.0
truthseeker,0.0
destruction,0.0
bubble,0.0
realshit,0.0
fucknewworldorder,0.0
luxury,0.0
rightvswrong,0.0
belike,0.0
monstersinc,0.0
laos,0.0
ebolascare,0.0
merica,0.0
youstupid,0.0
mahdi,0.0
glutenfree,0.0
mexicans,0.0
keisha,0.0
supernatural,0.0
onmyway,0.0
dallascowboys,0.0
maybealittle,0.0
bmex,0.0
boywithglasses,0.0
frequentflyer,0.0
hairy,0.0
we,0.0
relatable,0.0
omg,0.0
neworleansrun,0.0
nochillzone,0.0
fuckwhitesupremacy,0.0
relatablepost,0.0
dummmmmmb,0.0
imbored,0.0
ebiola,0.0
holocaust,0.0
drippinginbitches,0.0
glasses,0.0
hipster,0.0
operationquarantine,0.0
dope,0.0
instadfw,0.0
fuckobama,0.0
calmyourtits,0.0
thumb_head,0.0
christ,0.0
buylocal,0.0
kentucky,0.0
wrapitup,0.0
wth,0.0
pluto,0.0
questioneverything,0.0
foolishness,0.0
bostonterriersofinstagram,0.0
mentor,0.0
smoke,0.0
retarded,0.0
startedfromthebottom,0.0
messiah,0.0
reduce,0.0
worldpopulation,0.0
stopebola2014,0.0
chrispratt,0.0
screwthegovernment,0.0
swerve,0.0
portiasimpson,0.0
resurrection,0.0
jenniferlawrence,0.0
libya,0.0
instadog,0.0
instabear,0.0
china,0.0
coffins,0.0
alone,0.0
doctorwho,0.0
lightskinwomen,0.0
instameme,0.0
thegreatcountryoftexas,0.0
knowledge,0.0
gaybear,0.0
ifhecatchacramphesagoner,0.0
nofilter,0.0
condoms,0.0
coverurmouth,0.0
mycity,0.0
vaporub,0.0
rainyday,0.0
naturallygr0wn,0.0
likeforlike,0.0
3pieces,0.0
weather,0.0
ishouldgetatwitter,0.0
moses,0.0
dontgetebola,0.0
aaron,0.0
awareness,0.0
hellno,0.0
dm,0.0
predictiveprogramming,0.0
kcc,0.0
song,0.0
cantgobacktovegas,0.0
jdm,0.0
tagsforlikes,0.0
everythingsgonetopoopy,0.0
storms,0.0
wakeupworld,0.0
ugh,0.0
actionaid,0.0
chinese,0.0
global,0.0
stressfree,0.0
nobooty,0.0
asian,0.0
educationdeprived,0.0
ozzy,0.0
noinot,0.0
niceday,0.0
johnlock,0.0
true,0.0
texans,0.0
imnotworried,0.0
america,0.0
tomhiddleston,0.0
tweakin,0.0
missouri,0.0
rofl,0.0
croptops,0.0
shemustliveinahole,0.0
darrenwilson,0.0
liars,0.0
lasttodie,0.0
avoiding,0.0
imscared,0.0
us,0.0
jamaica,0.0
codforalongtime,0.0
improbablytakingthistoofar,0.0
concert,0.0
badweather,0.0
gulfcoast,0.0
justjokes,0.0
quarantine,0.0
breastcancer,0.0
simpsons,0.0
guesswhoyouwontseeoutside,0.0
blacklivesmatter,0.0
llama,0.0
fall,0.0
trayvonmartin,0.0
pieceblint,0.0
aboutaweekago,0.0
ghetto,0.0
school,0.0
katyperry,0.0
ornah,0.0
be,0.0
incapacitated,0.0
washurhands,0.0
gayman,0.0
marvel,0.0
2014feed,0.0
etc,0.0
funnypics,0.0
shewasntready,0.0
houstontx,0.0
safesex,0.0
goingtoschoolinahazmatsuit,0.0
ripmikebrown,0.0
souljaboy,0.0
bigd,0.0
kermitthefrog,0.0
louisiana,0.0
instabeard,0.0
sushi,0.0
destiel,0.0
wx,0.0
sorrynotsorry,0.0
rip,0.0
sherlock,0.0
kereldidit,0.0
lovinglife,0.0
wonkyeyes,0.0
ayy,0.0
cinnamonapple,0.0
werescrewed,0.0
savethechildren,0.0
infection,0.0
aware,0.0
work,0.0
thehotzone,0.0
instagood,0.0
funnyshit,0.0
smokingweed,0.0
ctfu,0.0
funnymeme,0.0
vegasmademewanyasnapchat,0.0
chill,0.0
nashgrier,0.0
ifunny,0.0
freakout,0.0
careful,0.0
mediacorruption,0.0
itsnotfunny,0.0
takearms,0.0
biocryst,0.0
freethinker,0.0
tornados,0.0
benplaying,0.0
wakeuppeople,0.0
thiscouldbeuabutwinterplaying,0.0
healthoverhabits,0.0
control,0.0
originalmeme,0.0
dickflyingoff,0.0
policebrutality,0.0
petty,0.0
doglove,0.0
cancer,0.0
wakeup,0.0
funnytextposts,0.0
ebolasquad,0.0
zombiesarecoming,0.0
femacoffins,0.0
crisis,0.0
flatass,0.0
blackpeoplebelike,0.0
becauseaidsdontworknomore,0.0
otaku,0.0
jaredpadalecki,0.0
thirstyniggasbelike,0.0
shitjustgotreal,0.0
apocalypseintexas,0.0
saveyourself,0.0
hongkong,0.0
frog,0.0
relatableposts,0.0
wartorn,0.0
billiepiper,0.0
winter,0.0
residenteviliscoming,0.0
unity,0.0
downwiththesickness,0.0
yudodis,0.0
awkward,0.0
shipit,0.0
flatline,0.0
secretsociety,0.0
currentevents,0.0
japanese,0.020873368254514302
fuckthat,0.026330377229247682
zombies,0.049749315529997444
october,0.0503669486441434
swag,0.05428893049868277
government,0.07345203265871164
f4f,0.09320233646622664
nwo,0.09413475272024817
joke,0.10487656476148606
dead,0.10785497261715064
walkingdead,0.11311907800436606
rp,0.11641450160041629
motivation,0.11856441543638413
dt,0.12107735975944658
me,0.12254229639115295
cute,0.12375229417896809
usa,0.12943420382978768
tumblr,0.13115041825809284
crazy,0.13417351286874113
l4l,0.1522500235369471
ebolavirus,0.15355064943265295
yolo,0.1683860102855707
cdc,0.1767644245954082
haha,0.18226264542133633
fearmongering,0.18692837432518333
beard,0.19102603540256743
donate,0.19205846240033939
world,0.2026746141988144
science,0.2026746141988144
fever,0.2026746141988144
danger,0.2026746141988144
sos,0.2026746141988144
sierraleone,0.2026746141988144
senegal,0.2026746141988144
medicine,0.2026746141988144
nigeria,0.2026746141988144
guinea,0.2026746141988144
congo,0.2026746141988144
countries,0.2026746141988144
unitedstates,0.20657666966408902
zombieapocalypse,0.21901611086448788
rns,0.2210218845235647
toofunny,0.23269220091742818
akon,0.23792710736289893
breakingnews,0.2381119825638064
fuckthesystem,0.24067159050105916
facts,0.24939411315603377
pray,0.2662243070362278
youtubevlogger,0.26994048906926243
dailyhumor,0.26994048906926243
laughterisgoodforthesoul,0.26994048906926243
laughalittle,0.26994048906926243
akushikagonenatural,0.26994048906926243
naturalhaircommunity,0.26994048906926243
massmedia,0.2816954586328486
democracy,0.2816954586328486
peace,0.2816954586328486
memes,0.2884999921300975
comedy,0.28956579520760845
liberia,0.3052412418483626
help,0.31147117872731006
fixitjesus,0.31212234978485215
realtalk,0.3195588977421691
followforfollow,0.32365441180199755
follow,0.3339586621372221
spread,0.3478456998231452
ebolaoutbreak,0.3680960430083948
run,0.36988894886166335
ferguson,0.3975556369515515
htown,0.40044511350972967
funny,0.41841122039385925
revolution,0.43152023616382323
wtf,0.43242042534696673
rachetpics,0.4820760466300371
twurkology,0.4820760466300371
rachetposts,0.4820760466300371
ghettoposts,0.4820760466300371
c4c,0.4820760466300371
slaytan,0.4820760466300371
s4s,0.4820760466300371
ghettopics,0.4820760466300371
textposts,0.4820760466300371
r4r,0.4820760466300371
lol,0.49633067331198316
like4like,0.5213469862965959
happy,0.5213469862965959
beautiful,0.5213469862965959
lmfao,0.523994398164004
houston,0.5394305785827054
meme,0.5401443008743273
africa,0.5449250048332303
outbreak,0.5723428130803144
nochill,0.5847463812354813
lmao,0.5939752304469006
hilarious,0.6098698445558582
tbt,0.6121794532915565
repost,0.6182346036452687
disease,0.6216865576788673
follow4follow,0.6395093695942979
kermit,0.6775127755743622
obama,0.6872957950499083
aids,0.7156792927590306
florida,0.7597934119929134
virus,0.7747856306166394
bruh,0.7805981950045844
meangirls,0.7831022688954082
niggasbelike,0.8148447550027123
kik,0.8221284196441663
love,0.8637367639767477
followme,0.8654468857492744
bitchesbelike,0.8655857338360573
tbh,0.8742090266970547
apocalypse,0.8934676064708015
death,0.9092608676509605
texas,0.9269901708864337
dallas,1.0478373926761768
drake,1.2206563130577934
god,1.3043659182252196
collapse,1.4986966066160976
truth,1.6143390395522725
ebola,1.6400460851925533
media,1.8480352169001821
msnbc,1.8480352169001821
fear,1.8480352169001821
lies,1.8480352169001821
bbc,1.8480352169001821
flood7,1.8480352169001821
cnn,1.8480352169001821
rt,1.8480352169001821
ffl7kkq88,1.8480352169001821
war,1.8480352169001821
worldnews,1.8480352169001821
fox,1.8480352169001821
anonymous,2.128853959513787
freedom,2.41145694697863
conflict,2.651235559605078
ktla,3.113826550066116
algorithm,3.113826550066116
blackmoney,3.113826550066116
explicit,3.113826550066116
generation_instant_gratification,3.113826550066116
dharth,3.113826550066116
begun,3.113826550066116
news,4.012216245112597
blackpeople,
